Q_solar,Q_design,mode,Q_to_pb,Q_to_storage,Q_from_storage,m_dot_charge,m_dot_discharge,Q_defocus,tank_soc,hour,day_of_year,DNI,T_amb,Q_sg_oil,m_oil_field,T_sg_oil_in,m_steam,m_orc,Q_nuclear_condenser,Q_orc_condenser,T_orc_live,P_turbine,P_pumps,P_net,efficiency,solar_efficiency,ex_nuclear,ex_solar,efficiency_II
0.0,84262200.00000001,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,222,0.0,27.35,0.0,1.0,567.279923475184,1445.0192141534708,11210.61682941886,2545018854.4754777,2259509895.6131067,362.89907080586624,1179588764.8631485,25103923.744471643,1154484841.118677,0.3381619335438421,,1633380620.0090048,0.0,0.7068069909586121
0.0,84262200.00000001,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,223,0.0,26.49,0.0,1.0,567.279923475184,1445.01921434638,11210.616829524635,2545018854.4994907,2259509895.634452,362.89907080586624,1179588764.924609,25103923.827249113,1154484841.09736,0.3381619335375981,,1638476568.9833553,0.0,0.7046086974644359
0.0,84262200.00000001,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,223,0.0,25.36,0.0,1.0,567.279923475184,1445.0192143110876,11210.61682931321,2545018854.4514933,2259509895.591839,362.89907080586624,1179588764.8841846,25103923.744212776,1154484841.1399717,0.3381619335500796,,1645172408.9147692,0.0,0.7017409451338432
0.0,84262200.00000001,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,223,0.0,24.29,0.0,1.0,567.279923475184,1445.0192141986447,11210.616829708228,2545018854.5411696,2259509895.671455,362.89907080586624,1179588764.8880131,25103923.827656988,1154484841.0603561,0.3381619335267593,,1651512717.522391,0.0,0.6990468973150391
0.0,84262200.00000001,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,223,0.0,23.04,0.0,1.0,567.279923475184,1445.0192143463692,11210.616829610619,2545018854.5190105,2259509895.651782,362.89907080586624,1179588764.90733,25103923.827300828,1154484841.0800292,0.3381619335325218,,1658919620.1013885,0.0,0.6959257260514349
0.0,84262200.00000001,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,223,0.0,22.04,0.0,1.0,567.279923475184,1445.0192141603186,11210.616829439874,2545018854.4802485,2259509895.617368,362.89907080586624,1179588764.858222,25103923.74378052,1154484841.1144414,0.3381619335426015,,1664845142.1645865,0.0,0.6934487850403981
0.0,84262200.00000001,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,223,0.0,21.02,0.0,1.0,567.279923475184,1445.0192143042304,11210.616829206077,2545018854.427172,2259509895.570246,362.89907080586624,1179588764.9063792,25103923.744813975,1154484841.1615653,0.3381619335564046,,1670889174.6690485,0.0,0.6909404038662427
74616793.12353167,84262200.00000001,direct_partial,74616793.12353167,0.0,0.0,0.0,0.0,0.0,0.0,6,223,295.48703842435293,20.83,75439962.69554041,311.7978823688864,665.8498495068521,1445.0192143476281,11210.616829609608,2545018854.518781,2337315311.1523776,367.1527563207378,1177223312.1023538,25921830.131134674,1151301481.971219,0.3299387564421243,19.131186291946193,1672015023.8610563,42132393.05403561,0.6716467152184539
173411329.25441748,84262200.00000001,charging,84262200.00000001,89149129.25441746,0.0,631.7124747675167,0.0,0.0,0.07979525997063369,7,223,582.7343139944613,25.06,86171782.71798523,724.6262265759237,665.8879725897145,1445.0192141689301,11210.616829346609,2545018854.4590755,2347016033.018172,367.84827856927006,1178254410.1753705,27008243.193454076,1151246166.9819164,0.32891133305689935,16.759915110724524,1646950065.5337286,47580775.84878066,0.6793893264537189
214102549.8664209,84262200.00000001,charging,84262200.00000001,129840349.86642088,0.0,920.0512604528063,0.0,0.0,0.19601226129098817,8,223,712.7758799170493,29.36,86619251.56311366,894.660824509169,665.8893226695145,1445.019214197386,11210.616829623137,2545018854.5218525,2347420584.324051,367.8772986385663,1178297327.7984324,27455712.12248288,1150841615.6759496,0.32875372411954545,16.66915960982936,1621470320.661977,47268583.369020484,0.6896475014131822
223445875.131732,84262200.00000001,charging,84262200.00000001,139183675.131732,0.0,986.2582461549698,0.0,0.0,0.32059225027898436,9,223,771.1695635197646,31.92,86721997.23905951,933.703363193252,665.8896307067583,1445.0192143476293,11210.616829609644,2545018854.5187893,2347513476.301452,367.8839623112757,1178307181.4967446,27558457.798196983,1150748723.6985476,0.32871754015489296,16.648452956262073,1606300984.1801906,46991269.38609705,0.6960346673229054
224966777.0974966,84262200.00000001,charging,84262200.00000001,140704577.09749657,0.0,997.0353872522209,0.0,0.0,0.4465335623529491,10,223,815.5964308468866,33.72,86738722.13047561,940.0586887488679,665.8896807800285,1445.019214342697,11210.616829613773,2545018854.5197268,2347528597.2435203,367.88504702852845,1178308785.4460738,27575182.689594664,1150733602.756479,0.32871165033880817,16.645086979077394,1595635044.466434,46765867.12392395,0.7006411130411568
219151842.53611672,84262200.00000001,charging,84262200.00000001,134889642.53611672,0.0,955.8306471375168,0.0,0.0,0.567270065149267,11,223,825.3000262252257,35.1,86674777.08252811,915.7600797299739,665.8894892285613,1445.0192143042425,11210.616829206132,2545018854.4271846,2347470784.614517,367.880899791116,1178302652.944651,27511237.55916649,1150791415.3854845,0.32873416945762585,16.657963285653906,1587457824.0192208,46551752.96535554,0.7042745841852228
216226389.28255615,84262200.00000001,charging,84262200.00000001,131964189.28255613,0.0,935.100828124373,0.0,0.0,0.6853880644912932,12,223,817.8287812436515,36.01,86642606.77233802,903.5356180338147,665.889392753721,1445.0192141639989,11210.616829436747,2545018854.4795384,2347441699.615844,367.8788133566417,1178299567.632088,27479067.24793013,1150820500.384158,0.32874549894290334,16.66444845047821,1582065598.9417107,46416063.74397809,0.7066831188545452
232185456.73250136,84262200.00000001,charging,84262200.00000001,147923256.73250133,0.0,1048.1870924334216,0.0,0.0,0.8177906445881464,13,223,845.4780312646234,36.5,86818103.73150976,970.2230650169238,665.8899181811294,1445.0192143061374,11210.616829231161,2545018854.4328666,2347600366.027664,367.89019546828297,1178316398.179745,27654564.207407072,1150661833.972338,0.3286836961754316,16.6291286748918,1579162093.1307435,46446226.80943048,0.7078346117314931
250447810.71138638,84262200.00000001,charging,84262200.00000001,166185610.71138638,0.0,1177.594490167598,0.0,0.0,0.9665394222935272,14,223,858.2632849960625,36.6,87018929.22464594,1046.5351532121429,665.8905168472045,1445.0192143042368,11210.616829292168,2545018854.4467163,2347781933.0921164,367.90322059509657,1178335656.6092362,27855389.70135216,1150480266.9078841,0.3286129810108383,16.588886148126253,1578569540.9244237,46540633.40065093,0.7079398585303244
252519431.10413295,84262200.00000001,charging,84262200.00000001,37382939.38737225,0.0,264.89624017624186,0.0,130874291.7167607,0.9999999999999999,15,223,818.1172209769102,36.46,85602525.84007588,508.31314605892953,665.8862347116601,1445.0192141603252,11210.616829439967,2545018854.4802694,2346501383.272154,367.81136235373503,1178199803.0435393,26438986.315691926,1151760816.7278473,0.3291118943433064,16.876742733357307,1579399114.0132716,45800835.03500569,0.7086886862150853
227435729.8282187,84262200.00000001,charging,84262200.00000001,0.0,0.0,0.0,0.0,143173529.8282187,0.9999999999999999,16,223,725.5211752845889,35.9,85191437.14657795,352.10271607689896,665.8842124693875,1445.01921430246,11210.616829234326,2545018854.433585,2346129735.0357075,367.78470490585073,1178160362.586778,26027897.622485306,1152132464.9642925,0.32925676850186886,16.96208048673734,1582717406.3686626,45652410.45526666,0.7075373499684987
