Q_solar,Q_design,mode,Q_to_pb,Q_to_storage,Q_from_storage,m_dot_charge,m_dot_discharge,Q_defocus,tank_soc,hour,day_of_year,DNI,T_amb,Q_sg_oil,m_oil_field,T_sg_oil_in,m_steam,m_orc,Q_nuclear_condenser,Q_orc_condenser,T_orc_live,P_turbine,P_pumps,P_net,efficiency,solar_efficiency,ex_nuclear,ex_solar,efficiency_II
0.0,112349600.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,222,0.0,27.35,0.0,1.0,567.279923475184,1445.0192141534708,11210.61682941886,2545018854.4754777,2259509895.613075,362.89907080586624,1179588764.8631473,25103923.744471643,1154484841.1186757,0.3381619335438417,,1633380620.0090048,0.0,0.7068069909586113
0.0,112349600.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,223,0.0,26.49,0.0,1.0,567.279923475184,1445.01921434638,11210.616829524635,2545018854.4994907,2259509895.634452,362.89907080586624,1179588764.924609,25103923.827249113,1154484841.09736,0.3381619335375981,,1638476568.9833553,0.0,0.7046086974644359
0.0,112349600.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,223,0.0,25.36,0.0,1.0,567.279923475184,1445.0192143110876,11210.61682931321,2545018854.4514933,2259509895.591839,362.89907080586624,1179588764.8841846,25103923.744212776,1154484841.1399717,0.3381619335500796,,1645172408.9147692,0.0,0.7017409451338432
0.0,112349600.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,223,0.0,24.29,0.0,1.0,567.279923475184,1445.0192141986447,11210.616829708228,2545018854.5411696,2259509895.671455,362.89907080586624,1179588764.8880131,25103923.827656988,1154484841.0603561,0.3381619335267593,,1651512717.522391,0.0,0.6990468973150391
0.0,112349600.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,223,0.0,23.04,0.0,1.0,567.279923475184,1445.0192143463692,11210.616829610619,2545018854.5190105,2259509895.651782,362.89907080586624,1179588764.90733,25103923.827300828,1154484841.0800292,0.3381619335325218,,1658919620.1013885,0.0,0.6959257260514349
0.0,112349600.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,223,0.0,22.04,0.0,1.0,567.279923475184,1445.0192141603186,11210.616829439874,2545018854.4802485,2259509895.617368,362.89907080586624,1179588764.858222,25103923.74378052,1154484841.1144414,0.3381619335426015,,1664845142.1645865,0.0,0.6934487850403981
0.0,112349600.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,223,0.0,21.02,0.0,1.0,567.279923475184,1445.0192143042304,11210.616829206077,2545018854.427172,2259509895.570246,362.89907080586624,1179588764.9063792,25103923.744813975,1154484841.1615653,0.3381619335564046,,1670889174.6690485,0.0,0.6909404038662427
74616793.12353167,112349600.0,direct_partial,74616793.12353167,0.0,0.0,0.0,0.0,0.0,0.0,6,223,295.48703842435293,20.83,75439962.69554041,311.7978823688864,665.8498495068521,1445.0192143476281,11210.616829609608,2545018854.518781,2337315311.1523776,367.1527563207378,1177223312.1023538,25921830.131134674,1151301481.971219,0.3299387564421243,19.131186291946193,1672015023.8610563,42132393.05403561,0.6716467152184539
173411329.25441748,112349600.0,charging,112349600.0,61061729.25441748,0.0,432.68460862707497,0.0,0.0,0.05465489793184105,7,223,582.7343139944613,25.06,114259182.71798515,724.6262265759237,665.9522570405718,1445.0192141689301,11210.616829346609,2545018854.4590755,2372420914.4787455,369.67280001537665,1180936928.7148108,27008243.193454076,1153928685.5213568,0.32705326501338,12.68691728655202,1646950065.5337286,63094507.59585472,0.6747945074961006
214102549.8664209,112349600.0,charging,112349600.0,101752949.8664209,0.0,721.0233943123646,0.0,0.0,0.14573153721340287,8,223,712.7758799170493,29.36,114706651.56311335,894.660824509169,665.9530269105304,1445.019214197386,11210.616829623137,2545018854.5218525,2372825832.7706013,369.701913807293,1180979479.3518813,27455712.12248288,1153523767.2293985,0.3268970422118884,12.634266739963286,1621470320.661977,62601010.831459634,0.6849613467420362
223445875.131732,112349600.0,charging,112349600.0,111096275.13173199,0.0,787.230380014528,0.0,0.0,0.24517116416260643,9,223,771.1695635197646,31.92,114809397.23905976,933.703363193252,665.9532028389184,1445.0192143476293,11210.616829609644,2545018854.5187893,2372918808.9862466,369.708598978094,1180989248.8119502,27558457.798196983,1153430791.0137532,0.3268611764399056,12.622235294211276,1606300984.1801906,62215757.52622273,0.6912911103511763
224966777.0974966,112349600.0,charging,112349600.0,112617177.09749661,0.0,798.0075211117793,0.0,-1.4901161193847656e-08,0.3459721141977785,10,223,815.5964308468866,33.72,114826122.13047561,940.0586887488681,665.9532314467191,1445.019214342697,11210.616829613773,2545018854.5197268,2372933943.639603,369.7096871940149,1180990839.0499904,27575182.689594664,1153415656.3603957,0.3268553384160618,12.620278858472524,1595635044.466434,61914460.418690324,0.6958559324840996
219151842.53611672,112349600.0,charging,112349600.0,106802242.53611672,0.0,756.802780997075,0.0,0.0,0.4415682549553038,11,223,825.3000262252257,35.1,114762177.08252804,915.7600797299739,665.9531220242807,1445.0192143042425,11210.616829206132,2545018854.4271846,2372876078.5861254,369.7055265788692,1180984758.973043,27511237.55916649,1153473521.4138765,0.3268776595104896,12.627762067006012,1587457824.0192208,61642160.19881791,0.6994563898203081
216226389.28255615,112349600.0,charging,112349600.0,103876789.28255615,0.0,736.0729619839312,0.0,0.0,0.5345458922585372,12,223,817.8287812436515,36.01,114730006.7723386,903.5356180338147,665.9530669285836,1445.0192141639989,11210.616829436747,2545018854.4795384,2372846967.21156,369.70343341287196,1180981700.0363731,27479067.24793013,1153502632.788443,0.3268888893666109,12.631529969809586,1582065598.9417107,61468101.90969461,0.7018430058299931
232185456.73250136,112349600.0,charging,112349600.0,119835856.73250136,0.0,849.1592262929801,0.0,0.0,0.6418081103165978,13,223,845.4780312646234,36.5,114905503.73150954,970.2230650169238,665.953367115006,1445.0192143061374,11210.616829231161,2545018854.4328666,2373005777.4981766,369.71485223664183,1180998386.709232,27654564.207407072,1153343822.501825,0.3268276300632773,12.611000763777925,1579162093.1307435,61477604.74122275,0.7029842225552625
250447810.71138638,112349600.0,charging,112349600.0,138098210.71138638,0.0,978.5666240271561,0.0,0.0,0.765416525983186,14,223,858.2632849960625,36.6,115106329.2246458,1046.5351532121429,665.9537095048761,1445.0192143042368,11210.616829292168,2545018854.4467163,2373187509.1655602,369.7279193445269,1181017480.535792,27855389.70135216,1153162090.83444,0.3267575366843064,12.587585472080091,1578569540.9244237,61567794.98651947,0.7030887387207523
