Q_solar,Q_design,mode,Q_to_pb,Q_to_storage,Q_from_storage,m_dot_charge,m_dot_discharge,Q_defocus,tank_soc,hour,day_of_year,DNI,T_amb,Q_sg_oil,m_oil_field,T_sg_oil_in,m_steam,m_orc,Q_nuclear_condenser,Q_orc_condenser,T_orc_live,P_turbine,P_pumps,P_net,efficiency,solar_efficiency,ex_nuclear,ex_solar,efficiency_II
0.0,102987133.33333334,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,222,0.0,27.35,0.0,1.0,567.279923475184,1445.0192141534708,11210.61682941886,2545018854.4754777,2259509895.613089,362.89907080586624,1179588764.8631458,25103923.744471643,1154484841.1186743,0.33816193354384133,,1633380620.0090048,0.0,0.7068069909586104
0.0,102987133.33333334,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,223,0.0,26.49,0.0,1.0,567.279923475184,1445.01921434638,11210.616829524635,2545018854.4994907,2259509895.634452,362.89907080586624,1179588764.924609,25103923.827249113,1154484841.09736,0.3381619335375981,,1638476568.9833553,0.0,0.7046086974644359
0.0,102987133.33333334,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,223,0.0,25.36,0.0,1.0,567.279923475184,1445.0192143110876,11210.61682931321,2545018854.4514933,2259509895.591839,362.89907080586624,1179588764.8841846,25103923.744212776,1154484841.1399717,0.3381619335500796,,1645172408.9147692,0.0,0.7017409451338432
0.0,102987133.33333334,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,223,0.0,24.29,0.0,1.0,567.279923475184,1445.0192141986447,11210.616829708228,2545018854.5411696,2259509895.671455,362.89907080586624,1179588764.8880131,25103923.827656988,1154484841.0603561,0.3381619335267593,,1651512717.522391,0.0,0.6990468973150391
0.0,102987133.33333334,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,223,0.0,23.04,0.0,1.0,567.279923475184,1445.0192143463692,11210.616829610619,2545018854.5190105,2259509895.651782,362.89907080586624,1179588764.90733,25103923.827300828,1154484841.0800292,0.3381619335325218,,1658919620.1013885,0.0,0.6959257260514349
0.0,102987133.33333334,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,223,0.0,22.04,0.0,1.0,567.279923475184,1445.0192141603186,11210.616829439874,2545018854.4802485,2259509895.617368,362.89907080586624,1179588764.858222,25103923.74378052,1154484841.1144414,0.3381619335426015,,1664845142.1645865,0.0,0.6934487850403981
0.0,102987133.33333334,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,223,0.0,21.02,0.0,1.0,567.279923475184,1445.0192143042304,11210.616829206077,2545018854.427172,2259509895.570246,362.89907080586624,1179588764.9063792,25103923.744813975,1154484841.1615653,0.3381619335564046,,1670889174.6690485,0.0,0.6909404038662427
74616793.12353167,102987133.33333334,direct_partial,74616793.12353167,0.0,0.0,0.0,0.0,0.0,0.0,6,223,295.48703842435293,20.83,75439962.69554041,311.7978823688864,665.8498495068521,1445.0192143476281,11210.616829609608,2545018854.518781,2337315311.1523776,367.1527563207378,1177223312.1023538,25921830.131134674,1151301481.971219,0.3299387564421243,19.131186291946193,1672015023.8610563,42132393.05403561,0.6716467152184539
173411329.25441748,102987133.33333334,charging,102987133.33333334,70424195.92108414,0.0,499.0272306738888,0.0,0.0,0.06303501861143859,7,223,582.7343139944613,25.06,104896716.05131847,724.6262265759237,665.9346457401779,1445.0192141689301,11210.616829346609,2545018854.4590755,2363950065.276387,369.0639758947243,1180045311.2504983,27008243.193454076,1153037068.0570443,0.32767005146741246,13.802277325204109,1646950065.5337286,57923263.18509169,0.6763183215045833
214102549.8664209,102987133.33333334,charging,102987133.33333334,111115416.53308755,0.0,787.3660163591785,0.0,0.0,0.16249177857259797,8,223,712.7758799170493,29.36,105344184.89644693,894.660824509169,665.9355585318859,1445.019214197386,11210.616829623137,2545018854.5218525,2364354862.586827,369.0930595315565,1180087982.8689897,27455712.12248288,1152632270.746507,0.3275133690228772,13.74021205967333,1621470320.661977,57490201.18174746,0.686515409832723
223445875.131732,102987133.33333334,charging,102987133.33333334,120458741.79839864,0.0,853.5730020613419,0.0,0.0,0.2703115262013991,9,223,771.1695635197646,31.92,105446930.57239307,933.703363193252,665.9357670315096,1445.0192143476293,11210.616829609644,2545018854.5187893,2364447811.032244,369.0997377854592,1180097780.0992856,27558457.798196983,1152539322.3010886,0.327477397738071,13.726035273440074,1606300984.1801906,57140927.64794308,0.6928641836578714
224966777.0974966,102987133.33333334,charging,102987133.33333334,121979643.76416326,0.0,864.3501431585931,0.0,0.0,0.3794925969161687,10,223,815.5964308468866,33.72,105463655.4638089,940.0586887488679,665.9358009326129,1445.019214342697,11210.616829613773,2545018854.5197268,2364462941.165494,369.1008248757046,1180099374.8574326,27575182.689594664,1152524192.1678379,0.3274715425398969,13.723730196657053,1595635044.466434,56864928.81950588,0.6974427901962883
219151842.53611672,102987133.33333334,charging,102987133.33333334,116164709.20278338,0.0,823.1454030438889,0.0,0.0,0.48346885835329156,11,223,825.3000262252257,35.1,105399710.41586135,915.7600797299739,665.9356712590181,1445.0192143042425,11210.616829206132,2545018854.4271846,2364405093.3944273,369.0966685647675,1180093277.4980736,27511237.55916649,1152582039.9389071,0.3274939292992995,13.732547251116722,1587457824.0192208,56612023.95019315,0.7010541804914542
216226389.28255615,102987133.33333334,charging,102987133.33333334,113239255.9492228,0.0,802.4155840307451,0.0,0.0,0.5848266163361225,12,223,817.8287812436515,36.01,105367540.10567136,903.5356180338147,665.9356059617503,1445.0192141639989,11210.616829436747,2545018854.4795384,2364375990.7150164,369.09457756460404,1180090209.866249,27479067.24793013,1152611142.618319,0.3275051921924901,13.736987094786473,1582065598.9417107,56450755.34834693,0.7034480550654781
232185456.73250136,102987133.33333334,charging,102987133.33333334,129198323.39916801,0.0,915.5018483397939,0.0,0.0,0.7004689550737807,13,223,845.4780312646234,36.5,105543037.06484285,970.2230650169238,665.9359616917193,1445.0192143061374,11210.616829231161,2545018854.4328666,2364534753.5714273,369.10598457646626,1180106943.969315,27654564.207407072,1152452379.761908,0.3274437526762017,13.712799537418492,1579162093.1307435,56467144.9263466,0.7045926747622023
250447810.71138638,102987133.33333334,charging,102987133.33333334,147460677.37805304,0.0,1044.90924607397,0.0,0.0,0.8324574914199663,14,223,858.2632849960625,36.6,105743862.5579792,1046.5351532121429,665.9363673166981,1445.0192143042368,11210.616829292168,2545018854.4467163,2364716430.9752135,369.1190381772924,1180126092.059472,27855389.70135216,1152270702.35812,0.32737345311278004,13.685219600773722,1578569540.9244237,56558740.62311238,0.7046974328323495
252519431.10413295,102987133.33333334,charging,102987133.33333334,149532297.7707996,0.0,1059.588788723748,0.0,0.0,0.9663002857850713,15,223,818.1172209769102,36.46,105766643.53065093,1055.1917414209329,665.9364132323705,1445.0192141603252,11210.616829439967,2545018854.4802694,2364737039.955054,369.1205189526696,1180128264.051215,27878170.672937512,1152250093.3782773,0.3273654790427993,13.682097637590896,1579399114.0132716,56593164.12204203,0.7043126723627324
227435729.8282187,102987133.33333334,charging,102987133.33333334,37650108.28323955,0.0,266.78940420151895,0.0,86798488.21164581,1.0,16,223,725.5211752845889,35.9,104536309.48373964,587.6746008857874,665.9339048774059,1445.01921430246,11210.616829234326,2545018854.433585,2363624032.059031,369.0405520154534,1180010937.900616,26647836.62631373,1153363101.2743022,0.3277962765839783,13.852653039278922,1582717406.3686626,56022566.28891428,0.7038109282242445
