Q_solar,Q_design,mode,Q_to_pb,Q_to_storage,Q_from_storage,m_dot_charge,m_dot_discharge,Q_defocus,tank_soc,hour,day_of_year,DNI,T_amb,Q_sg_oil,m_oil_field,T_sg_oil_in,m_steam,m_orc,Q_nuclear_condenser,Q_orc_condenser,T_orc_live,P_turbine,P_pumps,P_net,efficiency,solar_efficiency,ex_nuclear,ex_solar,efficiency_II
0.0,56174800.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,222,0.0,27.35,0.0,1.0,567.279923475184,1445.0192141534708,11210.61682941886,2545018854.4754777,2259509895.61313,362.89907080586624,1179588764.8631485,25103923.744471643,1154484841.118677,0.3381619335438421,,1633380620.0090048,0.0,0.7068069909586121
0.0,56174800.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,223,0.0,26.49,0.0,1.0,567.279923475184,1445.01921434638,11210.616829524635,2545018854.4994907,2259509895.634452,362.89907080586624,1179588764.924609,25103923.827249113,1154484841.09736,0.3381619335375981,,1638476568.9833553,0.0,0.7046086974644359
0.0,56174800.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,223,0.0,25.36,0.0,1.0,567.279923475184,1445.0192143110876,11210.61682931321,2545018854.4514933,2259509895.591839,362.89907080586624,1179588764.8841846,25103923.744212776,1154484841.1399717,0.3381619335500796,,1645172408.9147692,0.0,0.7017409451338432
0.0,56174800.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,223,0.0,24.29,0.0,1.0,567.279923475184,1445.0192141986447,11210.616829708228,2545018854.5411696,2259509895.671455,362.89907080586624,1179588764.8880131,25103923.827656988,1154484841.0603561,0.3381619335267593,,1651512717.522391,0.0,0.6990468973150391
0.0,56174800.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,223,0.0,23.04,0.0,1.0,567.279923475184,1445.0192143463692,11210.616829610619,2545018854.5190105,2259509895.651782,362.89907080586624,1179588764.90733,25103923.827300828,1154484841.0800292,0.3381619335325218,,1658919620.1013885,0.0,0.6959257260514349
0.0,56174800.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,223,0.0,22.04,0.0,1.0,567.279923475184,1445.0192141603186,11210.616829439874,2545018854.4802485,2259509895.617368,362.89907080586624,1179588764.858222,25103923.74378052,1154484841.1144414,0.3381619335426015,,1664845142.1645865,0.0,0.6934487850403981
0.0,56174800.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,223,0.0,21.02,0.0,1.0,567.279923475184,1445.0192143042304,11210.616829206077,2545018854.427172,2259509895.570246,362.89907080586624,1179588764.9063792,25103923.744813975,1154484841.1615653,0.3381619335564046,,1670889174.6690485,0.0,0.6909404038662427
74616793.12353167,56174800.0,charging,56174800.0,18441993.12353167,0.0,130.68032422912802,0.0,0.0,0.01650698832367933,6,223,295.48703842435293,20.83,56997969.57200868,311.7978823688864,665.7543881543888,1445.0192143476281,11210.616829609608,2545018854.518781,2320653315.702123,365.95976246214843,1175443314.4290612,25921830.131134674,1149521484.2979264,0.33117895613164766,25.258724050168524,1672015023.8610563,31829133.447276562,0.674663512720492
173411329.25441748,56174800.0,charging,56174800.0,117236529.25441748,0.0,830.7403409079586,0.0,0.0,0.12144261033310567,7,223,582.7343139944613,25.06,58084382.71798465,724.6262265759237,665.7617589173351,1445.0192141689301,11210.616829346609,2545018854.4590755,2321634581.889279,366.02996097115965,1175548461.3042572,27008243.193454076,1148540218.1108031,0.3307927145513997,24.77120007518825,1646950065.5337286,32067052.13639905,0.6840550974873706
214102549.8664209,56174800.0,charging,56174800.0,157927749.8664209,0.0,1119.0791265932482,0.0,0.0,0.26279997369225283,8,223,712.7758799170493,29.36,58531851.56311334,894.660824509169,665.7647155166155,1445.019214197386,11210.616829623137,2545018854.5218525,2322038753.7175827,366.0588771273118,1175591758.4049003,27455712.12248288,1148136046.2824175,0.33063369764789907,24.575661838604002,1621470320.661977,31936163.92199576,0.6944064009591141
223445875.131732,56174800.0,charging,56174800.0,167271075.13173196,0.0,1185.2861122954116,0.0,2.9802322387695312e-08,0.4125203247190417,9,223,771.1695635197646,31.92,58634597.23905837,933.7033631932519,665.7653880510105,1445.0192143476293,11210.616829609644,2545018854.5187893,2322131558.5899873,366.0655169637501,1175601699.2082078,27558457.798196983,1148043241.4100108,0.33059719047974995,24.531184564398274,1606300984.1801906,31766789.298359297,0.7008521014805521
224966777.0974966,56174800.0,charging,56174800.0,168791977.0974966,0.0,1196.063253392663,0.0,0.0,0.5636019988317992,10,223,815.5964308468866,33.72,58651322.13047558,940.0586887488679,665.765497303697,1445.019214342697,11210.616829613773,2545018854.5197268,2322146665.3541627,366.06659780178734,1175603317.3354304,27575182.689594664,1148028134.6458356,0.3305912480558282,24.523959321747725,1595635044.466434,31617281.924019996,0.705500994546048
219151842.53611672,56174800.0,charging,56174800.0,162977042.53611672,0.0,1154.8585132779588,0.0,0.0,0.7094788636669097,11,223,825.3000262252257,35.1,58587377.082528085,915.7600797299739,665.7650792575001,1445.0192143042425,11210.616829206132,2545018854.4271846,2322088906.9336796,366.06246539716335,1175597130.6254883,27511237.55916649,1148085893.0663218,0.33061396831744483,24.55160618930709,1587457824.0192208,31461353.882527336,0.7091681343563644
216226389.28255615,56174800.0,charging,56174800.0,160051589.28255615,0.0,1134.128694264815,0.0,0.0,0.8527372250477284,12,223,817.8287812436515,36.01,58555206.77233797,903.5356180338147,665.7648685974663,1445.0192141639989,11210.616829436747,2545018854.4795384,2322059849.208514,366.0603864263338,1175594018.039418,27479067.24793013,1148114950.791488,0.3306253990008225,24.565537964539715,1582065598.9417107,31364033.76275496,0.7115990232973426
232185456.73250136,56174800.0,charging,56174800.0,164525413.7077284,0.0,1165.830301705483,0.0,11485243.024772972,1.0,13,223,845.4780312646234,36.5,58604404.04435614,922.2301896371524,665.7651906614874,1445.0192143061374,11210.616829231161,2545018854.4328666,2322104286.5226774,366.0635657493882,1175598777.9975781,27528264.520252407,1148070513.4773257,0.330607918408509,24.544238629156833,1579162093.1307435,31347265.991967693,0.7128617458657374
250447810.71138638,56174800.0,charging,56174800.0,0.0,0.0,0.0,0.0,194273010.71138638,1.0,14,223,858.2632849960625,36.6,56795168.64241708,234.73514405126596,665.7512894240964,1445.0192143042368,11210.616829292168,2545018854.4467163,2320470146.518615,365.94665963515604,1175423682.600509,25719029.119123165,1149704653.4813857,0.33125108155866384,25.35179587668189,1578569540.9244237,30370430.506037664,0.7145727459671581
252519431.10413295,56174800.0,charging,56174800.0,0.0,0.0,0.0,0.0,196344631.10413295,1.0,15,223,818.1172209769102,36.46,56795168.64241695,234.73514405126596,665.7512894240964,1445.0192141603252,11210.616829439967,2545018854.4802694,2320470146.5485287,365.94665963510766,1175423682.5695066,25719029.118034005,1149704653.4514728,0.3312510815500454,25.351795876221395,1579399114.0132716,30382373.89050601,0.7141992016249318
227435729.8282187,56174800.0,charging,56174800.0,0.0,0.0,0.0,0.0,171260929.8282187,1.0,16,223,725.5211752845889,35.9,56795168.64241695,234.73514405126596,665.7512894240964,1445.01921430246,11210.616829234326,2545018854.433585,2320470146.5069036,365.94665963517485,1175423682.6114206,25719029.11832421,1149704653.4930964,0.3312510815620379,25.35179587686234,1582717406.3686626,30430147.428379696,0.7127089216277274
204645567.79672608,56174800.0,charging,56174800.0,0.0,0.0,0.0,0.0,148470767.79672608,1.0,17,223,658.5077342976938,35.12,56795168.64241695,234.73514405126596,665.7512894240964,1445.0192141534778,11210.616829418906,2545018854.475488,2320470146.544269,365.9466596351146,1175423682.5744438,25719029.118712764,1149704653.4557312,0.3312510815512723,25.35179587628689,1587339313.577957,30496689.1418466,0.7106435086887177
131275595.24071562,56174800.0,charging,56174800.0,0.0,0.0,0.0,0.0,75100795.24071562,1.0,18,223,459.082031740249,34.05,56795168.64241695,234.73514405126596,665.7512894240964,1445.0192143024633,11210.616829234337,2545018854.433588,2320470146.506906,365.94665963517485,1175423682.611422,25719029.118327737,1149704653.4930944,0.33125108156203736,25.351795876862305,1593679622.1855786,30587970.72314096,0.7078295833226695
