Q_solar,Q_design,mode,Q_to_pb,Q_to_storage,Q_from_storage,m_dot_charge,m_dot_discharge,Q_defocus,tank_soc,day_of_year,hour,DNI(K),T_amb(K),Q_sg_oil,m_oil_field,T_sg_oil_in,m_steam,P_turbine,P_pumps,P_net,efficiency
246740881.53425938,140437000.0,charging,140437000.0,106303881.53425938,0.0,753.2713851837466,0.0,0.0,0.27917100811388534,184,10,832.0981870393307,26.86,143152965.2639386,1031.0451727514958,665.9921060523308,1406.8431651552028,1249749159.2452195,18917056.3898825,1230832102.855337,0.3460160737743281
245530265.22805446,140437000.0,charging,140437000.0,105093265.22805446,0.0,744.6929343431993,0.0,0.0,0.37323748403092105,184,11,841.8832134921375,27.72,143139652.48854518,1025.9864241128212,665.9920913905562,1406.841630233834,1249744021.8136623,18903746.020101063,1230840275.7935612,0.3460196663722425
188722768.7962195,140437000.0,charging,140437000.0,48285768.7962195,0.0,342.1539027628865,0.0,0.0,0.41645692437991727,184,12,658.7236150086247,28.58,142514957.9120431,788.6074595572098,665.9914003198347,1406.769592369444,1249502968.3639767,18279164.33417332,1231223804.0298033,0.3461882822370103
62721657.50724492,140437000.0,direct_plus_discharge,140437000.0,0.0,77715342.49275509,0.0,550.6924379866649,0.0,0.3468957743184438,184,13,254.01422271929812,29.52,142106112.15596685,262.09220700558444,659.1170427223482,1406.7224322679454,1249345224.1471498,17870392.748260174,1231474831.3988895,0.34629867404386344
85038816.55684902,140437000.0,direct_plus_discharge,140437000.0,0.0,55398183.44315098,0.0,392.5526121587294,0.0,0.29731018120365693,184,14,312.3305771624692,30.04,142070282.63116026,355.3479292213081,661.031935854083,1406.7182989237265,1249331400.7685168,17834569.425197814,1231496831.343319,0.34630834979789155
38862725.885968134,140437000.0,direct_plus_discharge,140437000.0,0.0,101574274.11403187,0.0,719.757294433806,0.0,0.20639347032780775,184,15,171.81157209071867,30.55,142144416.9500882,162.39394815945215,657.1546642843743,1406.7268513889062,1249360002.6451395,17908690.619558077,1231451312.0255814,0.3462883301802828
46523098.32500446,140437000.0,direct_plus_discharge,140437000.0,0.0,93913901.67499554,0.0,665.4757453982081,0.0,0.12233337617224463,184,16,193.57461593575383,30.56,142132118.45350176,194.40400654797403,657.7755052349455,1406.725432395795,1249355257.6715178,17896394.34514302,1231458863.3263748,0.3462916512398629
154115577.69951767,140437000.0,charging,140437000.0,13678577.699517667,0.0,96.92666930264943,0.0,0.0,0.1345767449262635,184,17,518.615529599286,29.84,142134393.2692445,643.9959257858183,665.990976345944,1406.725694820922,1249356135.3242466,17898668.749751806,1231457466.5744948,0.346291036948799
116171205.81493425,140437000.0,direct_plus_discharge,140437000.0,0.0,24265794.185065746,0.0,171.9478925374644,0.0,0.11285701113205748,184,18,440.3281948268317,29.2,142020300.52047804,485.4394627409062,663.840860561349,1406.7125326535631,1249312117.4272728,17784596.348959934,1231527521.0783129,0.3463218477403124
0.0,140437000.0,discharging,126086490.30508476,0.0,126086490.30508476,0.0,893.4513381287884,0.0,0.0,184,19,75.24675450130685,28.24,127678084.36804293,1.0,654.15,1405.0512831801132,1243787898.2315397,17795487.31002927,1225992410.9215105,0.3461614471209824
0.0,140437000.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184,20,0.0,25.96,0.0,1.0,567.279923475184,1389.1254122158423,1200996049.8527067,16240489.36083707,1184755560.4918697,0.34702857659398645
0.0,140437000.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184,21,0.0,25.74,0.0,1.0,567.279923475184,1389.1254122158307,1200996049.8810506,16240489.360806698,1184755560.520244,0.3470285766022976
0.0,140437000.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184,22,0.0,24.0,0.0,1.0,567.279923475184,1389.1254121950744,1200996049.878757,16240489.36148432,1184755560.5172727,0.3470285766014273
0.0,140437000.0,shutdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184,23,0.0,22.18,0.0,1.0,567.279923475184,1389.1254119591517,1200996049.7978058,16240489.360057663,1184755560.4377482,0.34702857657813363
